able	jvkf
got	lkd
govern	lkff;v
great	l;fjd
green	l;ffv
ground	l;ksvj
group	l;ks;
grow	l;kf
had	djj
half	djkj
hand	djvj
happen	dj;;fv
hard	dj;j
has	djs
have	djff
he	df
head	dfjj
hear	dfj;
heard	dfj;j
heat	dfjd
help	dfk;
her	df;
here	df;f
high	dlld
him	dll
his	dls
hold	dkkj
home	dklf
horse	dk;sf
hot	dkd
hour	dks;
house	dkssf
how	dkf
hundred	dsvj;fj
idea	ljfj
if	lj
important	ll;k;djvd
in	lv
inch	lvad
Indian	lvjljv
interest	lvdf;fsd
into	lvdk
is	ls
island	lskjvj
it	ld
its	lds
it's	ld's
just	dssd
keep	aff;
kind	alvj
king	alvl
knew	avff
know	avkf
land	kjvj
language	kjvlsjlf
large	kj;lf
last	kjsd
late	kjdf
later	kjdf;
laugh	kjsld
lay	kja
lead	kfjj
learn	kfj;v
leave	kfjff
left	kfjd
less	kfss
let	kfd
letter	kfddf;
life	kljf
light	klldd
like	klaf
line	klvf
list	klsd
listen	klsdfv
little	klddkf
live	klff
long	kkvl
look	kkka
lot	kkd
love	kkff
low	kkf
machine	ljadlvf
made	ljjf
main	ljlv
make	ljaf
man	ljv
many	ljva
map	lj;
mark	lj;a
may	lja
me	lf
mean	lfjv
measure	lfjss;f
men	lfv
might	llldd
mile	llkf
mind	llvj
minute	llvsdf
miss	llss
money	lkvfa
moon	lkkv
more	lk;f
morning	lk;vlvl
most	lksd
mother	lkddf;
mountain	lkksvdjlv
move	lkff
much	lsad
music	lssla
must	lssd
my	la
name	vjlf
near	vfj;
need	vffj
never	vfff;
new	vff
next	vfkd
night	vlldd
no	vk
north	vk;dd
not	vkd
note	vkdf
nothing	vkddlvl
notice	vkdlaf
noun	vksv
now	vkf
number	vslvf;
numeral	vslf;jk
object	kvdfad
of	kj
off	kjj
often	kjdfv
oh	kd
oil	klk
old	kkj
on	kv
once	kvaf
one	kvf
only	kvka
open	k;fv
or	k;
order	k;jf;
other	kddf;
our	ks;
out	ksd
over	kff;
own	kfv
page	;jlf
paper	;j;f;
part	;j;d
pass	;jss
pattern	;jddf;v
people	;fk;kf
perhaps	;f;dj;s
person	;f;skv
picture	;lads;f
piece	;lfaf
place	;kjaf
plain	;kjlv
plan	;kjv
plane	;kjvf
plant	;kjvd
play	;kja
point	;klvd
port	;k;d
pose	;ksf
possible	;ksslvkf
pound	;ksvj
power	;kff;
press	;;fss
problem	;;kvkfl
produce	;;kjsaf
product	;;kjsad
pull	;skk
put	;sd
question	;sfsdlkv
quick	;slaa
quickly	;slaaka
quite	;sldf
rain	;jlv
ran	;jv
reach	;fjad
read	;fjj
ready	;fjja
real	;fjk
really	;fjkka
record	;fak;j
red	;fj
remember	;flflvf;
rest	;fsd
right	;lldd
river	;lff;
road	;kjj
rock	;kaa
room	;kkl
round	;ksvj
rule	;skf
run	;sv
said	sjlj
same	sjlf
saw	sjf
say	sja
school	sadkkk
science	salfvaf
sea	sfj
second	sfakvj
see	sff
seem	sffl
self	sfkj
sentence	sfvdfvaf
serve	sf;ff
set	sfd
several	sfff;jk
shape	sdj;f
she	sdf
ship	sdl;
short	sdk;d
should	sdkskj
show	sdkf
side	sljf
simple	sll;kf
since	slvaf
sing	slvl
sit	sld
six	slk
size	slvf
sleep	skff;
slow	skkf
small	sljkk
snow	svkf
so	sk
some	sklf
something	sklfddlvl
sometimes	sklfdllfs
song	skvl
soon	skkv
sound	sksvj
south	sksdd
special	s;faljk
spell	s;fkk
stand	sdjvj
star	sdj;
start	sdj;d
state	sdjdf
stay	sdja
step	sdsf;
still	sdlkk
stood	sdkkj
stop	sdk;
story	sdk;a
street	sd;ffd
strong	sd;kvl
study	sdsja
such	ssad
sun	ssv
sure	ss;f
surface	ss;jjaf
table	djvkf
tail	djlk
take	djaf
talk	djka
teach	dfjad
tell	dfkk
ten	dfv
test	dfsd
than	ddjv
that	ddjd
the	ddf
the	dfh
their	ddfl;
them	ddfl
then	ddfv
there	ddf;f
these	ddfsf
they	ddfa
thing	ddlvl
think	ddlva
this	ddls
those	ddksf
though	ddksld
thought	ddksldd
thousand	ddkssjvj
three	dd;ff
through	dd;ksld
time	dllf
to	dk
together	dklfddf;
told	dkkj
too	dkk
took	dkka
top	dk;
toward	dkfj;j
town	dkfv
travel	d;jffk
tree	d;ff
true	d;sf
try	d;a
turn	ds;v
two	dfk
under	svjf;
unit	svld
until	svdlk
up	s;
us	ss
use	ssf
usual	sssjk
very	ff;a
voice	fklaf
vowel	fkff
wait	fjld
walk	fjka
want	fjvd
war	fj;
warm	fj;l
was	fjs
watch	fjdad
water	fjdf;
way	fja
we	ff
week	fffa
weight	fflldd
well	ffkk
went	ffvd
were	ff;f
west	ffsd
what	fdjd
wheel	fdffk
when	fdfv
where	fdf;f
which	fdlad
while	fdlkf
white	fdldf
who	fdk
whole	fdkkf
why	fda
will	flkk
wind	flvj
with	fldd
without	flddksd
wonder	fkvjf;
wood	fkkj
word	fk;j
work	fk;a
world	fk;kj
would	fkskj
write	f;ldf
year	afj;
yes	afs
yet	afd
you	aks
young	aksvl
your	aks;
